City Name,Lat,Long,Max Temp,Cloudiness,Humidity,Wind Speed,Country
kamenka,51.32,42.77,56.95,55.0,43.0,10.11,RU
tocopilla,-22.09,-70.2,66.31,21.0,53.0,11.34,CL
san cristobal,7.77,-72.22,91.4,40.0,43.0,20.8,VE
lebu,-37.62,-73.65,51.17,0.0,68.0,18.21,CL
dikson,73.51,80.55,45.66,69.0,90.0,19.95,RU
torbay,47.67,-52.73,61.0,75.0,48.0,5.82,CA
upernavik,72.79,-56.15,32.04,98.0,96.0,10.78,GL
jamestown,42.1,-79.24,73.0,40.0,64.0,11.41,US
isangel,-19.55,169.27,72.95,61.0,78.0,15.21,VU
butaritari,3.07,172.79,82.78,12.0,75.0,15.68,KI
cape town,-33.93,18.42,55.0,75.0,87.0,16.11,ZA
deputatskiy,69.3,139.9,37.49,100.0,83.0,3.51,RU
corinto,37.94,22.96,75.0,0.0,53.0,6.46,GR
kapuskasing,49.42,-82.43,55.4,75.0,62.0,17.22,CA
parral,26.93,-105.67,68.23,98.0,73.0,11.86,MX
yellowknife,62.46,-114.35,37.99,75.0,55.0,9.17,CA
tucuman,-26.82,-65.22,82.4,0.0,37.0,6.93,AR
honiara,-9.43,159.95,77.0,20.0,88.0,3.36,SB
bredasdorp,-34.53,20.04,57.2,44.0,62.0,17.22,ZA
vaini,-21.2,-175.2,69.8,75.0,73.0,11.41,TO
cayenne,4.93,-52.33,87.8,1.0,58.0,10.29,GF
khatanga,71.97,102.5,45.73,0.0,71.0,6.2,RU
port alfred,-33.59,26.89,59.02,0.0,64.0,9.28,ZA
sarwar,26.07,75.0,82.38,0.0,49.0,5.82,IN
monte patria,-30.69,-70.95,80.85,0.0,18.0,6.4,CL
kapaa,22.08,-159.32,84.2,75.0,66.0,12.75,US
lukovetskiy,64.3,41.92,50.0,75.0,93.0,2.24,RU
mataura,-46.19,168.86,54.0,100.0,90.0,5.99,NZ
atuona,-9.8,-139.03,78.4,1.0,77.0,16.06,PF
busselton,-33.65,115.33,55.99,100.0,62.0,6.76,AU
ushuaia,-54.8,-68.3,44.6,100.0,71.0,6.73,AR
constitucion,-35.33,-72.42,59.97,0.0,53.0,16.42,CL
hobart,-42.88,147.33,48.2,20.0,49.0,17.22,AU
albany,42.6,-73.97,73.99,65.0,67.0,6.58,US
kruisfontein,-34.0,24.73,54.16,0.0,58.0,10.16,ZA
qaanaaq,77.48,-69.36,22.68,4.0,81.0,7.54,GL
toyooka,35.53,134.83,65.89,33.0,84.0,3.94,JP
bambous virieux,-20.34,57.76,71.6,75.0,78.0,10.29,MU
aksarka,66.56,67.8,44.06,97.0,86.0,10.36,RU
cananea,30.95,-110.3,88.0,26.0,31.0,3.0,MX
mfou,3.72,11.64,71.6,75.0,94.0,4.7,CM
new norfolk,-42.78,147.06,45.0,42.0,72.0,4.0,AU
rikitea,-23.12,-134.97,73.58,0.0,84.0,13.62,PF
tambura,5.6,27.47,69.93,99.0,93.0,1.66,SS
tasiilaq,65.61,-37.64,37.4,92.0,69.0,4.7,GL
